Značka,Název,Cena,Úhlopříčka,Rozlišení,RAM (GB),Disk (GB),SSD,CPU
VICTUS,VICTUS by HP 16-s1900nc Performance,36990,16.1,1920x1080,32,1000.0,1,AMD Ryzen 5-8645HS
MacBook,Pro PRO CZ 2024,74990,16.2,3456x2234,24,512.0,1,Apple M4
Acer,Acer Nitro V 15,23990,15.6,1920x1080,16,1000.0,1,Intel i7-13620H
HP,ProBook 460 G11,23990,16,1920x1200,16,512.0,1,Intel Ultra 5-125U
ASUS,Zenbook S 16 OLED UM5606WA-OLED225X,58990,16,2880x1800,32,2000.0,1,AMD Ryzen AI 9-HX370
Lenovo,Lenovo Legion Slim 5 16ARP9,36989,16,2560x1600,16,1000.0,1,AMD Ryzen 7-7435HS
Acer,Acer Predator Helios Neo 16 Abyssal,41988,16,2560x1600,32,1000.0,1,Intel i9-14900HX
MSI,MSI Thin 15 B12VE-1661XCZ,23490,15.6,1920x1080,16,1000.0,1,Intel i5-12450H
Lenovo,IdeaPad Slim 5 14IRL8,21098,14,1920x1200,16,1000.0,1,Intel i7-13620H
Lenovo,Yoga 7 16IRL8 Lenovo,28989,16,2560x1600,16,1000.0,1,Intel i7-1360P
Lenovo,Yoga Pro 9 16IMH9,57989,16,3200x2000,32,1000.0,1,Intel Ultra 9-185H
Lenovo,Lenovo V15 G4 IRU Business,10989,15.6,1920x1080,16,512.0,1,Intel i5-13420H
Dell,Dell Vostro 5640,25490,16,1920x1200,16,1000.0,1,Intel Core 7-150U
Acer,Acer Nitro 5,37990,15.6,2560x1440,32,1000.0,1,Intel i9-12900H
MacBook,Air CZ 2024,32990,13.6,2560x1664,16,512.0,1,Apple M3
MacBook,Air CZ 2024,33890,15.3,2880x1864,16,256.0,1,Apple M3
Lenovo,IdeaPad Pro 5 14AHP9,26654,14,2880x1800,16,1000.0,1,AMD Ryzen 7-8845HS
Lenovo,Yoga Slim 7 14IMH9,26490,14,1920x1200,32,1000.0,1,Intel Ultra 7-155H
ASUS,Vivobook S 14 S5406SA-OLED004W Mist,26652,14,1920x1200,16,512.0,1,Intel Ultra 5-226V
MacBook,Air CZ 2022,24990,13.6,2560x1664,16,256.0,1,Apple M2
HP,HP Pavilion 16-ag0433nc Sky,22990,16,1920x1200,16,1000.0,1,AMD Ryzen 7-8840U
ASUS,Vivobook S 15 OLED S5507QA-OLED064X,34985,15.6,2880x1620,32,1000.0,1,Snapdragon X Elite X1E-78-100
MSI,MSI Katana 17 B13VEK-1442CZ,27990,17.3,1920x1080,16,1000.0,1,Intel i7-13620H
Lenovo,IdeaPad Flex 5 14ALC7 Stone Lenovo,16989,14,1920x1200,16,512.0,1,AMD Ryzen 5-5500U
Lenovo,Lenovo ThinkBook 14 G6 IRL,19990,14,1920x1200,16,1000.0,1,Intel i5-1335U
MacBook,Pro CZ 2024,61990,14.2,3024x1964,24,1000.0,1,Apple M4
Lenovo,IdeaPad Duet 5 12IRU8 Lenovo,29989,12.4,2560x1440,16,512.0,1,Intel i7-1355U
Acer,Aspire 3,17990,17.3,1920x1080,16,1000.0,1,Intel i5-1235U
Lenovo,Lenovo ThinkBook 14 G7 ARP,25390,14,1920x1200,16,1000.0,1,AMD Ryzen 7-7735HS
Lenovo,IdeaPad Pro 5 14AHP9,28989,14,2880x1800,32,1000.0,1,AMD Ryzen 7-8845HS
Lenovo,Yoga 7 2-in-1 14AHP9 Lenovo,25990,14,1920x1200,16,1000.0,1,AMD Ryzen 7-8840HS
ASUS,Zenbook S 16 OLED UM5606WA-OLED221X,47356,16,2880x1800,32,1000.0,1,AMD Ryzen AI 9-HX370
MSI,MSI Katana 15 B13VGK-1477CZ,43290,15.6,2560x1440,16,1000.0,1,Intel i9-13900H
Lenovo,IdeaPad Slim 5 16AHP9,22989,16,2048x1280,16,1000.0,1,AMD Ryzen 5-8645HS
Lenovo,Lenovo ThinkBook 16 G7 ARP,23290,16,1920x1200,32,1000.0,1,AMD Ryzen 7-7735HS
MacBook,Pro PRO CZ 2024,86990,16.2,3456x2234,48,512.0,1,Apple M4
HP,HP ENVY x360 16-ac0900nc OLED Glacier,37990,16,2880x1800,32,1000.0,1,Intel Ultra 7-155U
Lenovo,Lenovo ThinkPad E14 Gen 6,30990,14,1920x1200,32,1000.0,1,Intel Ultra 7-155H
Lenovo,Yoga 7 16IRL8 Lenovo,24989,16,2560x1600,16,512.0,1,Intel i5-1340P
Lenovo,Lenovo Legion Slim 5 16ARP9,38989,16,2560x1600,16,1000.0,1,AMD Ryzen 7-7435HS
ASUS,Zenbook S 16 OLED UM5606WA-OLED218X,52619,16,2880x1800,32,2000.0,1,AMD Ryzen AI 9-HX370
MacBook,Air SK 2024,32751,13.6,2560x1664,24,512.0,1,Apple M3
Lenovo,IdeaPad 3 17IAU7,12989,17.3,1600x900,8,512.0,1,Intel i3-1215U
Lenovo,IdeaPad Pro 5 14IMH9,29989,14,2880x1800,32,1000.0,1,Intel Ultra 9-185H
OMEN,OMEN 17-db0900nc Shadow,37990,17.3,1920x1080,16,1000.0,1,AMD Ryzen 5-8645HS
Lenovo,Pro 5 16IRX9,49989,16,2560x1600,32,1000.0,1,Intel i7-14700HX
MSI,MSI Katana 17 B13VGK-1099CZ,39988,17.3,1920x1080,16,1000.0,1,Intel i7-13620H
Lenovo,Chromebook Duet 11M889 Lenovo,9599,10.95,1920x1080,8,128.0,1,MediaTek Kompanio 838
Lenovo,IdeaPad Slim 5 16ABR8,20989,16,2560x1600,16,1000.0,1,AMD Ryzen 7-7730U
Acer,Acer Swift Go 16 EVO Steel,31990,16,3200x2000,32,1000.0,1,Intel Ultra 9-185H
VICTUS,VICTUS by HP 15-fb0950nc Performance,18990,15.6,1920x1080,16,512.0,1,AMD Ryzen 5-5600H
HP,ProBook 465 G11,26990,16,1920x1200,32,1000.0,1,AMD Ryzen 7-7735U
Microsoft,Surface Pro,29490,13,2880x1920,16,256.0,1,Snapdragon X Plus X1P-64-100
ASUS,TUF Gaming F15 FX507VI-LP058W Jaeger,34726,15.6,1920x1080,16,1000.0,1,Intel i7-13620H
Lenovo,Lenovo ThinkBook 16 G6 IRL,17990,16,1920x1200,8,512.0,1,Intel i5-1335U
ASUS,Vivobook 16 X1605VA-MB1681W,15779,16,1920x1200,16,512.0,1,Intel i5-13420H
Lenovo,Lenovo Legion 7 16IRX9,49989,16,3200x2000,32,1000.0,1,Intel i7-14700HX
Lenovo,IdeaPad Slim 5 16IMH9,27989,16,2048x1280,32,1000.0,1,Intel Ultra 7-155H
MacBook,Air CZ 2024,39890,15.3,2880x1864,16,512.0,1,Apple M3
MacBook,Air CZ 2024,31990,13.6,2560x1664,16,512.0,1,Apple M3
