Značka,Název,Cena,Úhlopříčka,Rozlišení,RAM (GB),Disk (GB),SSD,CPU
HP,HP OmniBook X 14-fe0910nc Meteor,33990,14,2240x1400,16,1000.0,1,Snapdragon X Elite X1E-78-100
Lenovo,IdeaPad Duet 5 12IRU8 Lenovo,25211,12.4,2560x1440,8,256.0,1,Intel i5-1335U
HP,ProBook 445 G11,24990,14,1920x1200,32,1000.0,1,AMD Ryzen 7-7735U
Lenovo,Lenovo ThinkPad T14s Gen 5 LTE,55990,14,1920x1200,32,1000.0,1,Intel Ultra 7-155U
Lenovo,Yoga Slim 7 14APU8,31989,14.5,2944x1840,32,1000.0,1,AMD Ryzen 7-7840S
Microsoft,Surface Laptop Go 3,27290,12.45,1536x1024,16,256.0,1,Intel i5-1235U
MacBook,Air CZ 2025,36990,15.3,2880x1864,16,256.0,1,Apple M4
MacBook,Air CZ 2024,38990,13.6,2560x1664,24,512.0,1,Apple M3
Lenovo,Lenovo Legion 7 16IRX9,42989,16,3200x2000,16,1000.0,1,Intel i7-14700HX
MacBook,Air CZ 2025,48990,15.3,2880x1864,24,512.0,1,Apple M4
MacBook,Air CZ 2024,43990,13.6,2560x1664,16,1000.0,1,Apple M3
MacBook,Air CZ 2024,49990,15.3,2880x1864,16,1000.0,1,Apple M3
HP,HP EliteBook 840 G11 5G,48990,14,1920x1200,32,1000.0,1,Intel Ultra 7-155H
Lenovo,Chromebook Duet 11M889,8989,10.95,1920x1080,8,128.0,1,MediaTek Kompanio 838
Dell,Dell Vostro 5640,22190,16,1920x1200,16,512.0,1,Intel i5-1334U
ASUS,TUF Gaming A15 FA507NVR-LP148W,28877,15.6,1920x1080,16,1000.0,1,AMD Ryzen 7-7435HS
HP,HP ZBook Firefly 16 G11,45990,16,1920x1200,32,2000.0,1,Intel Ultra 7-165U
Acer,Acer Predator Helios Neo 14,37990,14.5,3072x1920,32,1000.0,1,Intel Ultra 9-185H
Acer,Acer Nitro V 15,22990,15.6,1920x1080,16,1000.0,1,AMD Ryzen 5-7535HS
Lenovo,Lenovo LOQ 15AHP9,26989,15.6,2560x1440,16,512.0,1,AMD Ryzen 5-8645HS
HP,ProBook 450 G10,23590,15.6,1920x1080,16,512.0,1,Intel i5-1334U
Dell,Dell Latitude 5450,32890,14,1920x1080,16,512.0,1,Intel Ultra 7-165U
HP,HP Spectre x360 14-eu0000nc Nightfall,40490,14,2880x1800,16,1000.0,1,Intel Ultra 5-125H
Lenovo,Yoga Pro 7 14ASP9,37989,14.5,2880x1800,32,1000.0,1,AMD Ryzen AI 9-365
OMEN,OMEN 17-db0901nc Shadow,46990,17.3,2560x1440,32,1000.0,1,AMD Ryzen 7-8845HS
OMEN,OMEN 14-fb0901nc Shadow,59990,14,2880x1800,32,1000.0,1,Intel Ultra 9-185H
HP,HP EliteBook 860 G10 OLED,43990,16,2880x1800,32,1000.0,1,Intel i5-1340P
HP,HP ENVY x360 15-fh0002nc Nightfall,27990,15.6,1920x1080,16,1000.0,1,AMD Ryzen 7-7730U
ASUS,Vivobook S 16 OLED S5606CA-OLED046X,31990,16,2880x1800,32,1000.0,1,Intel Ultra 7-255H
MacBook,Pro PRO CZ 2024,85490,16.2,3456x2234,24,1000.0,1,Apple M4
Lenovo,Lenovo ThinkPad P14s Gen 5,51690,14.5,2560x1600,32,1000.0,1,Intel Ultra 7-155H
HP,HP ENVY x360 15-fh0900nc OLED Nightfall,24890,15.6,1920x1080,16,1000.0,1,AMD Ryzen 7-7730U
HP,HP ZBook Firefly 14 G11 A,29990,14,1920x1200,32,1000.0,1,AMD Ryzen 5-8640HS
Acer,Acer Swift Go EVO 14,25990,14,2880x1800,32,1000.0,1,Intel Ultra 7-155H
ASUS,Vivobook S 15 OLED S5507QA-OLED001W,34490,15.6,2880x1620,32,1000.0,1,Snapdragon X Elite X1E-78-100
Acer,Aspire Go 15 Steel,13790,15.3,1920x1200,8,512.0,1,Intel i5-1235U
Acer,Acer Nitro V 16,25990,16,2560x1600,16,1000.0,1,AMD Ryzen 5-8645HS
HP,ProBook 445 G11,23990,14,1920x1200,16,512.0,1,AMD Ryzen 5-7535U
MacBook,Air CZ 2024,55990,15.3,2880x1864,24,1000.0,1,Apple M3
Acer,Acer Nitro V 15,21990,15.6,1920x1080,16,1000.0,1,AMD Ryzen 5-7535HS
Dell,Dell Vostro 3440,22290,14,2240x1400,16,512.0,1,Intel i5-1334U
MacBook,Pro PRO CZ 2024,71990,14.2,3024x1964,24,1000.0,1,Apple M4
Dell,Dell Latitude 5550,34390,15.6,1920x1080,16,1000.0,1,Intel Ultra 7-165U
Dell,Dell Latitude 5550,29990,15.6,1920x1080,16,512.0,1,Intel Ultra 5-135U
ASUS,Vivobook 15 X1502VA-NJ881W,14989,15.6,1920x1080,16,512.0,1,Intel i5-13420H
HP,HP 15-fc0962nc,13490,15.6,1920x1080,16,512.0,1,AMD Ryzen 5-7520U
HP,HP 17-cn4005nc,20990,17.3,1920x1080,16,512.0,1,Intel Core 5-120U
ASUS,TUF Gaming A17 FA706NFR-HX019W,21042,17.3,1920x1080,16,1000.0,1,AMD Ryzen 7-7435HS
Acer,Acer Nitro 16,44590,16,2560x1600,32,1000.0,1,AMD Ryzen 9-8945HS
Lenovo,IdeaPad Flex 5 16ABR8 Lenovo,17989,16,1920x1200,16,512.0,1,AMD Ryzen 5-7430U
Lenovo,Lenovo ThinkPad X13 Gen 4 Deep,51990,13.3,1920x1200,32,1000.0,1,AMD Ryzen 7-PRO7840
MacBook,Air CZ 2025,42990,15.3,2880x1864,16,512.0,1,Apple M4
VICTUS,VICTUS by HP 15-fa1999nc Mica,26990,15.6,1920x1080,16,1000.0,1,Intel i5-13500H
Microsoft,Surface Laptop7th Edition,38790,13.8,2304x1536,16,512.0,1,Snapdragon X Elite X1E-78-100
MacBook,Air SK 2022,27990,13.6,2560x1664,8,256.0,1,Apple M2
Acer,Acer Nitro V 16,24990,16,1920x1200,16,1000.0,1,AMD Ryzen 5-8645HS
Acer,Chromebook Spin 714 EVO Steel,21990,14,1920x1200,8,256.0,1,Intel i5-1335U
MacBook,Air CZ 2025,42990,15.3,2880x1864,16,512.0,1,Apple M4
ASUS,Zenbook 14 UX3405CA-OLED382X Foggy,37990,14,1920x1200,32,1000.0,1,Intel Ultra 7-255H
Lenovo,Lenovo ThinkPad T14 Gen 5,40790,14,1920x1200,16,512.0,1,Intel Ultra 5-125U
ASUS,ROG Flow Z13 GZ302EA-NEBULA057X Off,61990,13.4,2560x1600,32,1000.0,1,AMD Ryzen AI MAX+ 395
Lenovo,IdeaPad 3 17ALC6,13989,17.3,1920x1080,8,512.0,1,AMD Ryzen 5-5500U
MSI,MSI Modern 15 H AI C1MG-061CZ,23990,15.6,1920x1080,32,1000.0,1,Intel Ultra 7-155H
Lenovo,Lenovo ThinkBook 16 G7 IML,28390,16,1920x1200,16,1000.0,1,Intel Ultra 7-155H
MacBook,Air SK 2022,27990,13.6,2560x1664,8,256.0,1,Apple M2
Lenovo,Lenovo ThinkPad T14s Gen 6 5G,68590,14,2880x1800,64,1000.0,1,Snapdragon X Elite X1E-78-100
Lenovo,IdeaPad Slim 5 16IMH9,21989,16,2048x1280,16,512.0,1,Intel Ultra 5-125H
Lenovo,IdeaPad Slim 3 15IRH10,15989,15.3,1920x1200,24,512.0,1,Intel i7-13620H
Acer,Acer Nitro V 15,27990,15.6,1920x1080,16,1000.0,1,AMD Ryzen 7-7735HS
Dell,Dell Latitude 7450,36990,14,1920x1200,16,512.0,1,Intel Ultra 7-165U
Lenovo,IdeaPad 5 2-in-1 16IRU9 Lenovo,21989,16,2048x1280,16,1000.0,1,Intel Core 5-120U
ASUS,TUF Gaming F16 FX607VU-RL032W,25990,16,1920x1200,16,1000.0,1,Intel Core 5-210H
ASUS,Vivobook 16 Flip TP3607SA-OLED021W Matte,30490,16,2880x1800,16,1000.0,1,Intel Ultra 7-256V
Lenovo,IdeaPad Slim 3 15IRH8,19989,15.6,1920x1080,16,512.0,1,Intel i7-13620H
Dell,Dell Latitude 3440,14990,14,1920x1080,8,256.0,1,Intel i3-1315U
MacBook,Air SK 2020,24532,13.3,2560x1600,16,256.0,1,Apple M1
MacBook,Air CZ 2025,36990,15.3,2880x1864,16,256.0,1,Apple M4
ASUS,Zenbook 14 UX3405CA-OLED232X Ponder,43990,14,1920x1200,32,1000.0,1,Intel Ultra 9-285H
ASUS,Vivobook 16 X1605VA-MB1269W,16990,16,1920x1200,16,1000.0,1,Intel i5-13420H
OMEN,OMEN Transcend 14-fb0900n Shadow,49990,14,2880x1800,16,1000.0,1,Intel Ultra 7-155H
Lenovo,Lenovo ThinkBook 16 G7 ARP,20990,16,1920x1200,16,512.0,1,AMD Ryzen 5-7535HS
Acer,Acer Nitro V 15,23990,15.6,1920x1080,16,1000.0,1,Intel i5-13420H
MacBook,Air SK 2024,32990,13.6,2560x1664,16,512.0,1,Apple M3
Lenovo,IdeaPad Flex 5 Plus 14IRU7 Lenovo,16989,14,1920x1200,8,512.0,1,Intel i5-1334U
HP,HP ENVY 17-da0003nc Glacier Touch,43690,17.3,1920x1080,32,1000.0,1,Intel Ultra 7-155U
MacBook,Air CZ 2024,61990,13.6,2560x1664,24,2000.0,1,Apple M3
MacBook,Air SK 2022,29416,13.6,2560x1664,8,512.0,1,Apple M2
Lenovo,IdeaPad Slim 5 16IMH9,23989,16,2048x1280,16,1000.0,1,Intel Ultra 5-125H
ASUS,Zenbook 14 UX3405CA-OLED381X Ponder,37990,14,1920x1200,32,1000.0,1,Intel Ultra 7-255H
Lenovo,Lenovo Legion Slim 5 14APH8,25543,14.5,2880x1800,16,512.0,1,AMD Ryzen 5-7640HS
MacBook,Air SK 2024,32990,13.6,2560x1664,16,512.0,1,Apple M3
Lenovo,IdeaPad Slim 5 13ARP10,17989,13.3,1920x1200,16,1000.0,1,AMD Ryzen 7-7735HS
MacBook,Air CZ 2025,48990,15.3,2880x1864,24,512.0,1,Apple M4
Acer,Aspire 5 15 Steel,21990,15.6,1920x1080,32,1000.0,1,Intel i7-13620H
HP,HP EliteBook 665 G11,30390,16,1920x1200,32,512.0,1,AMD Ryzen 7-7735U
Lenovo,IdeaPad 5 2-in-1 16IRU9 Cosmic Lenovo,24986,16,2048x1280,16,512.0,1,Intel Core 5-120U
MSI,MSI Modern 14 H D13MG-068CZ,18990,14,1920x1200,16,1000.0,1,Intel i7-13620H
Acer,Acer TravelMate P2 Shale,11990,15.6,1920x1080,8,512.0,1,Intel i3-1215U
Dell,Dell Latitude 5450,28890,14,1920x1080,16,1000.0,1,Intel Ultra 5-135U
Lenovo,Yoga 9 2-in-1 14ILL10,49989,14,3840x2400,32,1000.0,1,Intel Ultra 7-258V
Acer,Acer Nitro V 15,19990,15.6,1920x1080,16,1000.0,1,AMD Ryzen 5-6600H
Microsoft,Surface Laptop7th Edition,37990,15,2496x1664,16,256.0,1,Snapdragon X Elite X1E-78-100
MacBook,Air CZ 2025,36990,15.3,2880x1864,16,256.0,1,Apple M4
MSI,MSI Katana 17 B13VEK-1464XCZ,26490,17.3,1920x1080,16,1000.0,1,Intel i5-13420H
HP,HP Spectre x360 16-aa0011nc Slate,50990,16,2880x1800,32,1000.0,1,Intel Ultra 7-155H
ASUS,ASUS ExpertBook P3 P3605CVA-MB0004X,29490,16,1920x1200,32,1000.0,1,Intel i7-13620H
MacBook,Air CZ 2025,41990,13.6,2560x1664,24,512.0,1,Apple M4
Lenovo,Lenovo LOQ Essential 15IAX9E,18499,15.6,1920x1080,16,1000.0,1,Intel i5-12450HX
Acer,Aspire Go 15 Steel,14990,15.3,1920x1200,16,1000.0,1,Intel i5-1334U
Lenovo,IdeaPad Slim 5 16IMH9,25989,16,2048x1280,16,512.0,1,Intel Ultra 7-155H
MacBook,Air CZ 2025,41990,13.6,2560x1664,24,512.0,1,Apple M4
Acer,Acer Swift 3,12990,14,1920x1080,16,512.0,1,AMD Ryzen 5-5500U
Dell,Dell Latitude 7650,29990,16,1920x1200,16,512.0,1,Intel Ultra 5-135U
MacBook,Air SK 2024,32990,13.6,2560x1664,16,512.0,1,Apple M3
Lenovo,Lenovo ThinkPad X13 Gen 4 Deep,39990,13.3,1920x1200,32,512.0,1,Intel i5-1335U
Lenovo,IdeaPad Slim 3 16IAH8,16989,16,1920x1200,16,512.0,1,Intel i5-12450H
Dell,Dell Latitude 5450 Touch,29490,14,1920x1080,16,512.0,1,Intel Ultra 5-135U
HP,HP ZBook Firefly 14 G11 A,19990,14,1920x1200,8,512.0,1,AMD Ryzen 5-8640HS
OMEN,OMEN 16-wf1900nc Shadow,54990,16.1,2560x1440,32,2000.0,1,Intel i7-14700HX
Lenovo,Lenovo ThinkBook 16 G7 ARP,25390,16,1920x1200,16,1000.0,1,AMD Ryzen 7-7735HS
MSI,MSI Katana 15 B13VFK-2299CZ,33990,15.6,1920x1080,32,1000.0,1,Intel i7-13620H
Acer,Aspire Go 15,8059,15.6,1920x1080,4,128.0,1,Intel Processor N100
HP,HP OmniBook Ultra Flip 14-fh0357nc Athmospheric,55390,14,2880x1800,32,2000.0,1,Intel Ultra 9-288V
Lenovo,Lenovo ThinkPad X1 Carbon Gen 12,68390,14,1920x1200,32,1000.0,1,Intel Ultra 7-155U
Acer,Chromebook 314,6990,14,1920x1080,4,128.0,1,Intel Processor N100
Lenovo,Chromebook Duet 11M889 Lenovo,9599,10.95,1920x1200,8,128.0,1,MediaTek Kompanio 838
Lenovo,Lenovo ThinkBook 16 G7 IML,23990,16,1920x1200,32,1000.0,1,Intel Ultra 5-125U
MacBook,Pro PRO CZ 2024,86990,16.2,3456x2234,48,512.0,1,Apple M4
Lenovo,IdeaPad Slim 3 15IRH8,17989,15.6,1920x1080,16,512.0,1,Intel i5-13420H
Dell,Dell Precision 3490,39990,14,1920x1080,16,1000.0,1,Intel Ultra 7-155H
Acer,Aspire 17 Steel,27990,17.3,1920x1080,32,1000.0,1,Intel Core 7-150U
Lenovo,Yoga Slim 9 14ILL10 Tidal Teal,55989,14,3840x2400,32,1000.0,1,Intel Ultra 7-258V
Lenovo,Lenovo V15 G4 AMN,15189,15.6,1920x1080,8,512.0,1,AMD Ryzen 5-7520U
Lenovo,Lenovo ThinkPad T16 Gen 3,50490,16,1920x1200,64,1000.0,1,Intel Ultra 7-155U
Lenovo,Lenovo ThinkPad P16s Gen 3 LTE,51690,16,1920x1200,32,1000.0,1,Intel Ultra 7-155H
Lenovo,IdeaPad Slim 5 13ARP10 Polar,19989,13.3,1920x1200,16,512.0,1,AMD Ryzen 7-7735HS
Acer,Acer Swift Go 16 Steel,19990,16,1920x1200,16,512.0,1,Intel Ultra 5-125U
Lenovo,Lenovo ThinkPad X13 Gen 4 Deep,53990,13.3,1920x1200,16,1000.0,1,Intel i7-1355U
ASUS,Vivobook 15 X1502VA-NJ596W,13990,15.6,1920x1080,16,512.0,1,Intel i5-13420H
HP,ProBook 455 G10,20490,15.6,1920x1080,8,512.0,1,AMD Ryzen 5-7530U
Lenovo,Lenovo ThinkPad L14 Gen 5,28590,14,1920x1200,16,512.0,1,Intel Ultra 5-125U
Lenovo,Lenovo ThinkPad L16 Gen 1,27690,16,1920x1200,16,512.0,1,Intel Ultra 5-125U
Lenovo,Lenovo LOQ 15IAX9I,19989,15.6,1920x1080,16,1000.0,1,Intel i5-12450HX
Acer,Aspire Go 15 Steel,13990,15.3,1920x1200,16,1000.0,1,Intel i5-1235U
VICTUS,VICTUS by HP 15-fa1952nc Performance,26990,15.6,1920x1080,16,1000.0,1,Intel i5-13500H
Lenovo,Lenovo ThinkPad T14 Gen 5,47390,14,1920x1200,32,1000.0,1,AMD Ryzen 7-PRO8840
ASUS,Zenbook 14 UX3405CA-OLED233X Foggy,43990,14,1920x1200,32,1000.0,1,Intel Ultra 9-285H
Lenovo,Lenovo LOQ Essential 15IAX9E,19989,15.6,1920x1080,16,1000.0,1,Intel i5-12450HX
ASUS,Chromebook Detachable CM3 CM3001DM2A-EDU128,10190,10.5,1920x1200,8,128.0,1,MediaTek Kompanio 520
Lenovo,Lenovo ThinkPad E16 Gen 2,29790,16,1920x1200,16,1000.0,1,Intel Ultra 7-155H
Lenovo,Yoga 9 2-in-1 14ILL10 Aura Edition Cosmic Lenovo,47989,14,2880x1800,32,1000.0,1,Intel Ultra 7-258V
ASUS,Vivobook 15 OLED M1505YA-OLED389W,20490,15.6,1920x1080,16,1000.0,1,AMD Ryzen 7-7730U
Lenovo,Lenovo ThinkPad E14 Gen 6,21998,14,1920x1200,16,512.0,1,AMD Ryzen 5-7535HS
Lenovo,Yoga Slim 7 14ILL10 Aura Edition Seashell,37989,14,2880x1800,32,1000.0,1,Intel Ultra 7-258V
Acer,Aspire 17 Steel,29590,17.3,1920x1080,32,1000.0,1,Intel Core 7-150U
Dell,Dell Latitude 7350,34090,13.3,1920x1200,16,512.0,1,Intel Ultra 5-135U
Dell,Dell Vostro 3440,16990,14,1920x1200,8,512.0,1,Intel i3-1305U
MacBook,Air SK 2024,34990,15.3,2880x1864,8,256.0,1,Apple M3
Lenovo,IdeaPad Slim 5 15ARP10 Seafoam,16989,15.3,1920x1200,16,1000.0,1,AMD Ryzen 7-7735HS
Acer,Aspire 16 Steel,29590,16,1920x1200,16,1000.0,1,Intel Ultra 7-155H
MacBook,Pro PRO CZ 2024,91490,16.2,3456x2234,48,512.0,1,Apple M4
Acer,Acer Nitro V 15,26490,15.6,1920x1080,16,1000.0,1,Intel i7-13620H
Microsoft,Surface Laptop 7 Platinum for business,69390,13.8,2304x1536,32,1000.0,1,Intel Ultra 7-268V
VICTUS,VICTUS by HP 15-fa1434nc,31990,15.6,1920x1080,16,1000.0,1,Intel i5-13500H
MacBook,Air SK 2024,28990,13.6,2560x1664,8,256.0,1,Apple M3
Acer,Acer TravelMate P4 16 Slate,30190,16,1920x1200,16,1000.0,1,Intel i7-13700H
MacBook,Pro PRO CZ 2024,79490,16.2,3456x2234,24,512.0,1,Apple M4
Dell,Dell Latitude 5350,33790,13.3,1920x1080,16,512.0,1,Intel Ultra 7-165U
Microsoft,Surface Laptop|Snapdragon® X Elite,47990,15,2496x1664,16,1000.0,1,Snapdragon X Elite X1E-78-100
Acer,Acer Swift Go 16 EVO Steel,23990,16,3200x2000,16,1000.0,1,Intel Ultra 5-125H
ASUS,TUF Gaming A15 FA507NVR-LP005,28224,15.6,1920x1080,16,512.0,1,AMD Ryzen 7-7435HS
ASUS,Zenbook 14 UX3405CA-OLED231X Ponder,35490,14,1920x1200,16,1000.0,1,Intel Ultra 7-255H
ASUS,Vivobook 14 Flip TP3407SA-OLED003W Matte,24490,14,1920x1200,16,512.0,1,Intel Ultra 5-226V
Lenovo,Yoga 6 13ABR8 Dark Teal Lenovo,22990,13.3,1920x1200,16,512.0,1,AMD Ryzen 7-7730U
HP,HP Pavilion 16-af0900nc Sky,21990,16,1920x1200,16,1000.0,1,Intel Ultra 5-125U
Acer,Acer Swift Go 14,19790,14,2240x1400,16,512.0,1,Intel Ultra 5-125U
VICTUS,VICTUS by HP 15-fa2960nc Performance,30990,15.6,1920x1080,16,1000.0,1,Intel i7-13620H
HP,HP 15-fc0960nc,11490,15.6,1920x1080,8,512.0,1,AMD Ryzen 5-7520U
HP,HP 15-fc0963nc Moonlight,13490,15.6,1920x1080,16,512.0,1,AMD Ryzen 5-7520U
Lenovo,IdeaPad Slim 5 14IRH10,15989,14,1920x1200,16,512.0,1,Intel i5-13420H
Acer,Aspire 17 Steel,22990,17.3,1920x1080,16,1000.0,1,Intel Core 5-120U
ASUS,ASUS ExpertBook B5 B5404CMA-Q50799,18937,14,1920x1200,16,512.0,1,Intel Ultra 5-125H
MacBook,Pro PRO US 2024,80990,16.2,3456x2234,24,1000.0,1,Apple M4
Lenovo,IdeaPad Slim 5 15IRH9,22989,15.3,1920x1200,32,1000.0,1,Intel i5-13420H
Acer,Aspire 3 Slim version,16990,15.6,1920x1080,16,1000.0,1,Intel i7-1255U
Acer,Acer TravelMate P4 Spin 14 Slate,29990,14,1920x1200,16,512.0,1,Intel Ultra 5-125U
Dell,Dell Vostro 3530,13990,15.6,1920x1080,8,256.0,1,Intel i3-1305U
GIGABYTE,GIGABYTE AORUS 16X ASG,50990,16,2560x1600,32,1000.0,1,Intel i9-14900HX
HP,HP 17-cn2004nc,19490,17.3,1920x1080,16,512.0,1,Intel i5-1235U
Lenovo,Yoga Pro 9 16IMH9,49989,16,3200x2000,32,1000.0,1,Intel Ultra 9-185H
Microsoft,Surface Laptop 7 Platinum for business,66990,13.8,2304x1536,32,512.0,1,Intel Ultra 7-268V
Lenovo,Lenovo ThinkPad T14s Gen 6,63790,14,1920x1200,64,1000.0,1,AMD Ryzen AI 7-PRO360
MSI,MSI Prestige 16 AI,54990,16,3840x2400,32,2000.0,1,Intel Ultra 9-288V
ASUS,ASUS ExpertBook P5 P5405CSA-ULTRA5W,22990,14,2560x1600,16,512.0,1,Intel Ultra 5-226V
MacBook,Air SK 2024,30156,15.3,2880x1864,8,256.0,1,Apple M3
Microsoft,Surface Laptop Studio 2,54690,14.4,2400x1600,16,512.0,1,Intel i7-13700H
HP,HP 15-fc0965nc Diamond,15990,15.6,1920x1080,16,512.0,1,AMD Ryzen 7-7730U
Acer,Acer Swift Go 16 Ice,29990,16,3200x2000,32,1000.0,1,Intel i7-13620H
Lenovo,IdeaPad Slim 5 14AHP9,21989,14,1920x1200,16,1000.0,1,AMD Ryzen 7-8845HS
ASUS,ASUS ExpertBook B5 B5604CMA-Q90161X,25463,16,1920x1200,16,1000.0,1,Intel Ultra 5-125H
Acer,Acer Swift X 14 Steel,36990,14.5,2880x1800,32,1000.0,1,Intel Ultra 7-155H
Lenovo,Yoga Slim 7 14ILL10 Aura Edition,27989,14,1920x1200,16,512.0,1,Intel Ultra 5-226V
Lenovo,Yoga Slim 7 14ILL10 Aura Edition,25989,14,1920x1200,16,512.0,1,Intel Ultra 5-226V
ASUS,Vivobook 15 X1502VA-NJ879W,15490,15.6,1920x1080,16,1000.0,1,Intel i5-13420H
HP,HP 15-fc0961nc Moonlight,11490,15.6,1920x1080,8,512.0,1,AMD Ryzen 5-7520U
Lenovo,IdeaPad Slim 3 15IRH8,15989,15.6,1920x1080,16,1000.0,1,Intel i7-13620H
Acer,Chromebook 311,7490,11.6,1366x768,4,128.0,1,Intel Processor N100
Lenovo,IdeaPad Duet 3 11IAN8 Lenovo,13989,11.5,2000x1200,8,128.0,1,Intel Processor N100
Lenovo,Lenovo ThinkPad P16v Gen 2,58890,16,1920x1200,32,1000.0,1,Intel Ultra 7-155H
Lenovo,Lenovo ThinkPad T14 Gen 5,48490,14,1920x1200,32,1000.0,1,Intel Ultra 7-155U
Lenovo,Yoga Slim 7 15ILL9 AURA Edition,37989,15.3,2880x1800,32,1000.0,1,Intel Ultra 7-258V
ASUS,Vivobook S14 S3407CA-LY008W,24990,14,1920x1200,16,1000.0,1,Intel Ultra 7-255H
MSI,MSI Katana A17 AI B8VF-887XCZ,39990,17.3,2560x1440,32,1000.0,1,AMD Ryzen 9-8945HS
ASUS,ASUS ExpertBook B5 B5404CMA-Q50259X,23146,14,1920x1200,16,512.0,1,Intel Ultra 5-125H
HP,HP 250 G10 Turbo,12990,15.6,1920x1080,8,512.0,1,Intel i5-1335U
ASUS,Zenbook A14 UX3407RA-OLED024X Zabriskie Beige,37990,14,1920x1200,32,1000.0,1,Snapdragon X Elite X1E-78-100
HP,ProBook 465 G11,26490,16,1920x1200,16,512.0,1,AMD Ryzen 7-7735U
HP,HP EliteBook 860 G11,44990,16,1920x1200,32,1000.0,1,Intel Ultra 7-155H
Lenovo,Yoga Slim 6 14IRH8,21989,14,1920x1200,16,1000.0,1,Intel i7-13700H
Lenovo,IdeaPad Slim 5 15ARP10,19989,15.1,2560x1600,16,1000.0,1,AMD Ryzen 7-7735HS
Acer,Acer TravelMate P2 15,18390,15.6,1920x1080,16,512.0,1,Intel i5-1334U
HP,HP ENVY 17-da0002nc,38790,17.3,1920x1080,32,1000.0,1,Intel Ultra 7-155U
ASUS,ASUS ExpertBook B5 B5404CVA-Q50183X,27989,14,1920x1200,32,1000.0,1,Intel i7-1355U
ASUS,TUF Gaming A15 FA506NCR-HN108,18936,15.6,1920x1080,16,512.0,1,AMD Ryzen 7-7435HS
Lenovo,Lenovo ThinkBook 14 G7 ARP,23990,14,1920x1200,16,1000.0,1,AMD Ryzen 7-7735HS
MacBook,Air CZ 2024,43793,15.3,2880x1864,16,1000.0,1,Apple M3
Acer,Acer TravelMate P2 15,22990,15.6,1920x1080,16,512.0,1,Intel Core 5-120U
ASUS,Vivobook 16 X1605VA-MB1630W,22990,16,1920x1200,32,1000.0,1,Intel i7-13620H
ASUS,Zenbook A14 UX3407RA-OLED027X Iceland,34490,14,1920x1200,16,1000.0,1,Snapdragon X Elite X1E-78-100
ASUS,ASUS ExpertBook P3 P3605CVA-MB0003X,24490,16,1920x1200,16,1000.0,1,Intel i5-13420H
Microsoft,Surface Pro 11 Platinum for business,49290,13,2880x1920,16,512.0,1,Intel Ultra 5-236V
ASUS,Vivobook Pro 15 OLED N6506CU-OLED012X Earl,45990,15.6,2880x1620,24,2000.0,1,Intel Ultra 9-285H
Lenovo,IdeaPad Slim 5 14Q8X9,23989,14,1920x1200,16,1000.0,1,Snapdragon X Plus X1P-42-100
MacBook,Air CZ 2025,48990,15.3,2880x1864,24,512.0,1,Apple M4
HP,HP 15-fc0964nc,15990,15.6,1920x1080,16,512.0,1,AMD Ryzen 7-7730U
Lenovo,IdeaPad Slim 5 14AHP9,16989,14,1920x1200,16,1000.0,1,AMD Ryzen 5-8645HS
ASUS,ASUS ExpertBook B5 B5404CMA-Q50259,21165,14,1920x1200,16,512.0,1,Intel Ultra 5-125H
Lenovo,Lenovo ThinkBook 16 G7 IML,23390,16,1920x1200,16,512.0,1,Intel Ultra 5-125U
Lenovo,Lenovo ThinkPad E14 Gen 6,25590,14,1920x1200,16,512.0,1,Intel Ultra 5-125U
ASUS,TUF Gaming A14 FA401UV-RG002 Jaeger,37490,14,2560x1600,32,1000.0,1,AMD Ryzen 7-8845HS
Lenovo,IdeaPad Slim 5 15ARP10,14989,15.3,1920x1200,16,512.0,1,AMD Ryzen 7-7735HS
Acer,Acer Swift 16 AI EVO Ice,35890,16,2880x1800,32,1000.0,1,Intel Ultra 7-258V
Lenovo,Lenovo ThinkPad E14 Gen 6,21390,14,1920x1200,16,512.0,1,Intel Ultra 5-125U
ASUS,ASUS ExpertBook B9 OLED B9403CVAR-OLED716X,31566,14,2880x1800,16,1000.0,1,Intel Core 7-150U
Lenovo,Lenovo ThinkPad X9-14 Gen 1,42990,14,1920x1200,32,512.0,1,Intel Ultra 5-228V
Lenovo,Yoga 7 2-in-1 14ILL10,39989,14,2880x1800,32,1000.0,1,Intel Ultra 7-258V
Acer,Chromebook Spin 312 Sparkly,9629,12.2,1920x1200,8,128.0,1,Intel Processor N100
Acer,Aspire 5 15 Steel,14990,15.6,1920x1080,16,512.0,1,Intel i5-13420H
ASUS,Vivobook 16 V3607VU-RP001W Matte,34990,16,1920x1200,32,1000.0,1,Intel Core 7-240H
Lenovo,IdeaPad Slim 5 14Q8X9,21989,14,1920x1200,16,512.0,1,Snapdragon X Plus X1P-42-100
HP,HP EliteBook 840 G11,44990,14,1920x1200,32,1000.0,1,Intel Ultra 7-155H
Lenovo,Lenovo ThinkPad E14 Gen 6,19990,14,1920x1200,8,512.0,1,AMD Ryzen 3-7335U
MSI,MSI Katana A15 AI B8VF-426CZ,29990,15.6,1920x1080,16,1000.0,1,AMD Ryzen 7-8845HS
Lenovo,Yoga Pro 7 14ASP9,39989,14.5,2880x1800,32,1000.0,1,AMD Ryzen AI 9-365
